"Model","Threshold","Accuracy","Sensitivity","Specificity","Precision","F1"
NA,NA,NA,NA,NA,NA,NA
"Logistic","0.517800744126765","0.601","0.528","0.677","0.627","0.573"
"SVM","0.433302159009636","0.590","0.448","0.737","0.637","0.526"
"GBM","0.494202292720706","0.859","0.891","0.825","0.840","0.865"
"NeuralNetwork","0.521984217695092","0.610","0.465","0.759","0.665","0.547"
"Xgboost","0.499927133321762","0.598","0.578","0.617","0.609","0.593"
"Adaboost","0.206736505520168","0.608","0.719","0.495","0.594","0.651"
"LightGBM","0.505283465967246","0.846","0.860","0.832","0.841","0.850"
"CatBoost","0.622890538258138","0.584","0.641","0.526","0.582","0.610"
